# Blending factor
# Time        	Scheme1       	Scheme2       	Blended       
0.25          	223	24	153
0.5           	144	48	208
0.75          	67	79	254
1             	30	111	259
1.25          	21	151	228
1.5           	14	191	195
1.75          	13	242	145
2             	11	290	99
2.25          	8	306	86
2.5           	9	333	58
2.75          	0	400	0
3             	0	400	0
3.25          	0	400	0
3.5           	0	400	0
3.75          	0	400	0
4             	0	400	0
4.25          	0	400	0
4.5           	0	400	0
4.75          	0	400	0
5             	0	400	0
5.25          	0	400	0
5.5           	0	400	0
5.75          	0	400	0
6             	0	400	0
6.25          	0	400	0
6.5           	0	400	0
6.75          	0	400	0
7             	0	400	0
7.25          	0	400	0
7.5           	0	400	0
7.75          	0	400	0
8             	0	400	0
8.25          	0	400	0
8.5           	0	400	0
8.75          	0	400	0
9             	0	400	0
9.25          	0	400	0
9.5           	0	400	0
9.75          	0	400	0
10            	0	400	0
