# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.005                   	smoothSolver	1.0000000000000000e+00	1.1323999999999999e-06	5	1.0000000000000000e+00	6.7143499999999995e-07	5	false	smoothSolver	1.0888399999999999e-02	7.5862499999999998e-07	3	true	smoothSolver	1.0000000000000000e+00	6.8680000000000004e-07	5	true	GAMG	1.0000000000000000e+00	3.7838200000000002e-02	2	true
0.01                    	smoothSolver	3.2909400000000000e-01	2.3619499999999999e-06	4	2.1243899999999999e-01	1.7255900000000000e-06	4	false	smoothSolver	7.2094400000000001e-03	6.1722800000000003e-07	3	true	smoothSolver	4.4763300000000000e-01	3.0525200000000001e-06	4	true	GAMG	3.5123799999999999e-01	1.2677700000000000e-02	2	true
0.015                   	smoothSolver	1.8103000000000000e-01	1.2934599999999999e-06	4	1.4966099999999999e-01	1.4108100000000000e-06	4	false	smoothSolver	6.6072500000000003e-03	6.0029899999999997e-07	3	true	smoothSolver	2.8176800000000002e-01	1.9029000000000000e-06	4	true	GAMG	1.8414400000000000e-01	3.1229299999999999e-03	2	true
0.02                    	smoothSolver	1.2905400000000000e-01	9.3292500000000005e-07	4	1.2001000000000001e-01	1.0714499999999999e-06	4	false	smoothSolver	6.0679499999999999e-03	5.8319100000000005e-07	3	true	smoothSolver	2.0272000000000001e-01	1.3583199999999999e-06	4	true	GAMG	6.4569299999999996e-02	1.5966800000000001e-03	2	true
0.025                   	smoothSolver	1.0147200000000001e-01	7.2909600000000003e-07	4	9.6646800000000005e-02	8.4546300000000003e-07	4	false	smoothSolver	5.5805100000000003e-03	5.6224800000000005e-07	3	true	smoothSolver	1.5661400000000000e-01	1.0459300000000000e-06	4	true	GAMG	4.2570400000000001e-02	8.5642200000000002e-04	2	true
0.03                    	smoothSolver	8.3502099999999996e-02	9.7086000000000005e-06	3	8.1725400000000004e-02	7.0459400000000004e-07	4	false	smoothSolver	5.1420900000000002e-03	5.4270000000000001e-07	3	true	smoothSolver	1.2623300000000001e-01	8.4481299999999998e-07	4	true	GAMG	4.4682600000000003e-02	1.0507299999999999e-03	2	true
0.035                   	smoothSolver	7.1163599999999994e-02	8.2565199999999993e-06	3	7.0397699999999994e-02	9.8540400000000003e-06	3	false	smoothSolver	4.9835799999999996e-03	5.2171500000000001e-07	3	true	smoothSolver	1.0498700000000000e-01	7.0385099999999997e-07	4	true	GAMG	5.2315599999999997e-02	1.2796900000000000e-03	2	true
0.04                    	smoothSolver	6.2271500000000000e-02	7.2064299999999997e-06	3	6.1604800000000001e-02	8.5908700000000006e-06	3	false	smoothSolver	4.9252799999999998e-03	4.9927300000000003e-07	3	true	smoothSolver	8.9348100000000000e-02	9.9276900000000008e-06	3	true	GAMG	6.4257200000000000e-02	1.5659000000000001e-03	2	true
0.045                   	smoothSolver	5.5768900000000003e-02	6.4420600000000003e-06	3	5.5115400000000002e-02	7.6183999999999998e-06	3	false	smoothSolver	4.8409600000000001e-03	4.7609300000000000e-07	3	true	smoothSolver	7.7391199999999993e-02	8.6830300000000001e-06	3	true	GAMG	7.2632500000000003e-02	1.7251800000000000e-03	2	true
0.05                    	smoothSolver	5.1020000000000003e-02	5.8962000000000004e-06	3	5.0228599999999998e-02	6.8629199999999997e-06	3	false	smoothSolver	4.7306099999999997e-03	9.6103000000000001e-06	2	true	smoothSolver	6.8228600000000000e-02	7.7229500000000003e-06	3	true	GAMG	8.7331800000000001e-02	2.0979599999999998e-03	2	true
0.055                   	smoothSolver	4.7757599999999997e-02	5.5406500000000001e-06	3	4.6321800000000003e-02	6.2759200000000000e-06	3	false	smoothSolver	4.5970700000000000e-03	9.1628399999999992e-06	2	true	smoothSolver	6.1348399999999997e-02	6.9617400000000000e-06	3	true	GAMG	9.4081499999999998e-02	2.2041000000000001e-03	2	true
0.06                    	smoothSolver	4.5401999999999998e-02	5.3897200000000000e-06	3	4.3505299999999997e-02	5.8926500000000002e-06	3	false	smoothSolver	4.4448400000000002e-03	8.6977100000000005e-06	2	true	smoothSolver	5.5590100000000003e-02	6.3390099999999996e-06	3	true	GAMG	1.0314200000000000e-01	2.4490699999999998e-03	2	true
0.065                   	smoothSolver	4.3707000000000003e-02	5.4229899999999997e-06	3	4.1240699999999998e-02	5.5859899999999997e-06	3	false	smoothSolver	4.2865600000000000e-03	8.2650699999999995e-06	2	true	smoothSolver	5.0678599999999997e-02	5.8080000000000001e-06	3	true	GAMG	1.0445900000000000e-01	2.4849600000000000e-03	2	true
0.07                    	smoothSolver	4.1040600000000003e-02	5.3896099999999999e-06	3	3.9195700000000000e-02	5.3337500000000004e-06	3	false	smoothSolver	4.1259000000000001e-03	7.8252900000000004e-06	2	true	smoothSolver	4.6439700000000000e-02	5.3714900000000003e-06	3	true	GAMG	7.5855400000000003e-02	1.7845599999999999e-03	2	true
0.075                   	smoothSolver	3.8185400000000001e-02	5.3243699999999998e-06	3	3.6861800000000000e-02	5.0627300000000002e-06	3	false	smoothSolver	3.9680799999999997e-03	7.4023999999999996e-06	2	true	smoothSolver	4.2745199999999997e-02	5.0086599999999997e-06	3	true	GAMG	5.8403400000000001e-02	1.3279600000000000e-03	2	true
0.08                    	smoothSolver	3.5537600000000003e-02	5.2787699999999998e-06	3	3.4484399999999998e-02	4.7752499999999997e-06	3	false	smoothSolver	3.8192000000000000e-03	7.0113600000000001e-06	2	true	smoothSolver	3.9499100000000002e-02	4.7196200000000002e-06	3	true	GAMG	5.5843700000000003e-02	1.2141800000000000e-03	2	true
