# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	max(p)	max(U)
0.5             	5.00207655e-02	(3.77551454e-01 9.25060235e-02 0.00000000e+00)
1               	5.65737777e-02	(3.78812020e-01 9.24987174e-02 0.00000000e+00)
1.5             	5.70316942e-02	(3.77869942e-01 9.27862931e-02 0.00000000e+00)
2               	5.79342350e-02	(3.78540986e-01 9.94892498e-02 0.00000000e+00)
2.5             	5.89454467e-02	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
3               	1.96471311e-07	(-9.99997267e-01 3.96950731e-06 0.00000000e+00)
3.5             	7.40548128e-09	(-9.99999909e-01 3.92302132e-07 0.00000000e+00)
4               	1.97261173e-10	(-9.99999997e-01 6.30696999e-08 0.00000000e+00)
4.5             	5.24927821e-12	(-1.00000000e+00 1.33280058e-08 0.00000000e+00)
5               	1.15377580e-12	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
5.5             	5.33555696e-15	(-1.00000000e+00 8.34675306e-14 0.00000000e+00)
6               	1.56401244e-15	(-1.00000000e+00 1.46346434e-13 0.00000000e+00)
6.5             	2.73790612e-15	(-1.00000000e+00 1.50585525e-13 0.00000000e+00)
7               	1.07755773e-15	(-1.00000000e+00 1.77538727e-13 0.00000000e+00)
7.5             	7.27847757e-15	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
8               	3.81538952e-15	(-1.00000000e+00 3.34502207e-14 0.00000000e+00)
8.5             	6.46462447e-15	(-1.00000000e+00 7.63114433e-14 0.00000000e+00)
9               	8.35124717e-15	(-1.00000000e+00 1.59626484e-13 0.00000000e+00)
9.5             	3.31884883e-15	(-1.00000000e+00 1.73064293e-13 0.00000000e+00)
10              	1.68868257e-15	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
