# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	min(p)	min(U)
0.5             	0.00000000e+00	(-8.96285353e-02 -2.69219396e-01 0.00000000e+00)
1               	0.00000000e+00	(-1.19477821e-01 -2.69806649e-01 0.00000000e+00)
1.5             	0.00000000e+00	(-1.35853669e-01 -2.66852551e-01 0.00000000e+00)
2               	0.00000000e+00	(-1.39630082e-01 -2.68018565e-01 0.00000000e+00)
2.5             	0.00000000e+00	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
3               	0.00000000e+00	(-1.00000272e+00 -4.10120490e-06 0.00000000e+00)
3.5             	0.00000000e+00	(-1.00000009e+00 -3.94579488e-07 0.00000000e+00)
4               	0.00000000e+00	(-1.00000000e+00 -6.31309263e-08 0.00000000e+00)
4.5             	0.00000000e+00	(-1.00000000e+00 -1.33259839e-08 0.00000000e+00)
5               	0.00000000e+00	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
5.5             	0.00000000e+00	(-1.00000000e+00 -1.26582747e-13 0.00000000e+00)
6               	0.00000000e+00	(-1.00000000e+00 -1.48010881e-13 0.00000000e+00)
6.5             	0.00000000e+00	(-1.00000000e+00 -1.37457278e-13 0.00000000e+00)
7               	0.00000000e+00	(-1.00000000e+00 -1.44098565e-13 0.00000000e+00)
7.5             	0.00000000e+00	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
8               	3.32010479e-16	(-1.00000000e+00 -4.38546848e-14 0.00000000e+00)
8.5             	1.51922725e-17	(-1.00000000e+00 -6.52062440e-14 0.00000000e+00)
9               	0.00000000e+00	(-1.00000000e+00 -1.31705703e-13 0.00000000e+00)
9.5             	0.00000000e+00	(-1.00000000e+00 -1.44447766e-13 0.00000000e+00)
10              	0.00000000e+00	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
