# Wall shear stress
# Time            	patch             	min               	max               
0.5               	fixedWalls	(-2.6464671562e-03 -2.3353506912e-03 0.0000000000e+00)	(3.5892974004e-04 2.3215613582e-03 0.0000000000e+00)
1                 	fixedWalls	(-2.5927982172e-03 -2.3353053077e-03 0.0000000000e+00)	(3.0777655832e-04 2.2515793925e-03 0.0000000000e+00)
1.5               	fixedWalls	(-2.5882940088e-03 -2.3367149634e-03 0.0000000000e+00)	(2.6314597101e-04 2.2546446627e-03 0.0000000000e+00)
2                 	fixedWalls	(-2.5913518648e-03 -2.3385692215e-03 0.0000000000e+00)	(2.4638688920e-04 2.2523602235e-03 0.0000000000e+00)
2.5               	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
3                 	fixedWalls	(-1.4735940909e-08 -1.7312276797e-08 0.0000000000e+00)	(1.4605132653e-08 1.7617735617e-08 0.0000000000e+00)
3.5               	fixedWalls	(-5.0094077873e-10 -1.5870944821e-09 0.0000000000e+00)	(5.0219542630e-10 1.5882687554e-09 0.0000000000e+00)
4                 	fixedWalls	(-4.7148727012e-11 -3.3042835080e-10 0.0000000000e+00)	(5.8281664599e-11 2.5293969155e-10 0.0000000000e+00)
4.5               	fixedWalls	(-1.0085700433e-11 -7.1086722292e-11 0.0000000000e+00)	(1.2522093666e-11 5.3364381979e-11 0.0000000000e+00)
5                 	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
5.5               	fixedWalls	(-2.3299619274e-16 -4.4877417039e-16 0.0000000000e+00)	(1.3304316950e-16 5.2340717075e-16 0.0000000000e+00)
6                 	fixedWalls	(-3.2768861569e-16 -7.8792302747e-16 0.0000000000e+00)	(2.2596783133e-16 6.4137472180e-16 0.0000000000e+00)
6.5               	fixedWalls	(-3.2514405053e-16 -7.9163596806e-16 0.0000000000e+00)	(2.6646009731e-16 5.9428140285e-16 0.0000000000e+00)
7                 	fixedWalls	(-3.5890188475e-16 -9.5392052713e-16 0.0000000000e+00)	(3.0671015714e-16 6.2274390399e-16 0.0000000000e+00)
7.5               	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
8                 	fixedWalls	(-1.0482865971e-16 -1.6530799364e-16 0.0000000000e+00)	(7.3264574711e-17 1.7081087977e-16 0.0000000000e+00)
8.5               	fixedWalls	(-1.6971492182e-16 -4.0380667492e-16 0.0000000000e+00)	(1.6307750581e-16 2.5865657163e-16 0.0000000000e+00)
9                 	fixedWalls	(-2.2927283080e-16 -6.9249915356e-16 0.0000000000e+00)	(1.8202469827e-16 5.3170172047e-16 0.0000000000e+00)
9.5               	fixedWalls	(-3.5809372859e-16 -7.7674703807e-16 0.0000000000e+00)	(2.5726264396e-16 5.8321207576e-16 0.0000000000e+00)
10                	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
