# y+ ()           
# Time            	patch             	min               	max               	average           
0.5               	movingWall	1.2745063373e+01	1.5521080466e+01	1.4500984551e+01
0.5               	fixedWalls	2.3268960582e-01	1.4302558775e+01	2.2777962902e+00
1                 	movingWall	1.2573007699e+01	1.5521613848e+01	1.4188757892e+01
1                 	fixedWalls	2.5979042189e-01	1.3889000543e+01	2.8452629391e+00
1.5               	movingWall	1.2532254019e+01	1.5522828005e+01	1.4135569092e+01
1.5               	fixedWalls	3.3085426349e-01	1.3908702337e+01	3.3167576568e+00
2                 	movingWall	1.2526914294e+01	1.5524898684e+01	1.4080750570e+01
2                 	fixedWalls	2.8889978819e-01	1.3895586745e+01	3.8007553367e+00
2.5               	movingWall	0.0000000000e+00	1.4522351908e+01	1.2460890974e+01
2.5               	fixedWalls	0.0000000000e+00	1.3864875922e+01	4.4200315295e-01
3                 	movingWall	9.5216212993e-06	3.5076338075e-02	3.7619074862e-03
3                 	fixedWalls	7.1956891336e-06	3.5076338075e-02	7.7008779916e-03
3.5               	movingWall	9.2782801105e-07	9.9332390425e-03	9.7576328340e-04
3.5               	fixedWalls	2.8145866467e-06	9.9332390425e-03	3.2629206404e-03
4                 	movingWall	3.6225021190e-07	3.9728074116e-03	3.8808523453e-04
4                 	fixedWalls	1.0799994635e-07	3.9728074116e-03	1.4439903627e-03
4.5               	movingWall	1.4296315420e-07	1.7959646280e-03	1.7529764544e-04
4.5               	fixedWalls	2.2162676426e-08	1.8253780478e-03	6.6244866427e-04
5                 	movingWall	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5                 	fixedWalls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5.5               	movingWall	1.6877874781e-07	4.0213237058e-06	6.2281397726e-07
5.5               	fixedWalls	1.4079025225e-08	5.6330679811e-06	1.2104231723e-06
6                 	movingWall	9.1498750518e-08	4.5387795848e-06	6.6182221531e-07
6                 	fixedWalls	1.3439529082e-08	6.0832949857e-06	1.6154246193e-06
6.5               	movingWall	7.1967684750e-08	4.7812208647e-06	5.8816148507e-07
6.5               	fixedWalls	3.9876119538e-08	6.1524085288e-06	1.7721947202e-06
7                 	movingWall	6.2313422040e-08	4.6092357591e-06	6.4727213599e-07
7                 	fixedWalls	2.6642378272e-08	6.6767894376e-06	1.9045294261e-06
7.5               	movingWall	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
7.5               	fixedWalls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
8                 	movingWall	3.6412413029e-08	2.2181265559e-06	4.1078543632e-07
8                 	fixedWalls	2.1255973736e-08	3.4259937490e-06	9.0658927310e-07
8.5               	movingWall	6.2759305646e-08	3.5606749636e-06	5.2796249125e-07
8.5               	fixedWalls	4.6426332218e-08	4.3791023797e-06	1.3276683279e-06
9                 	movingWall	4.4844904558e-08	4.3974790102e-06	5.9853454201e-07
9                 	fixedWalls	3.9925713926e-08	6.3179027948e-06	1.7147804729e-06
9.5               	movingWall	1.4275387956e-07	4.9334688561e-06	7.0487398723e-07
9.5               	fixedWalls	4.8560485623e-08	6.5779935597e-06	1.9040271806e-06
10                	movingWall	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
10                	fixedWalls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
